Date : 2025-06-21 22:31:52
Directory : c:\Users\Jervi\Desktop\payment-with-laravel
Total : 140 files,  23239 codes, 932 comments, 1093 blanks, all 25264 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-logo-icon.tsx                             | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-logo.tsx                                  | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-shell.tsx                                 | TypeScript JSX     |         14 |          0 |          5 |         19 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-sidebar-header.tsx                        | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\app-sidebar.tsx                               | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\appearance-dropdown.tsx                       | TypeScript JSX     |         50 |          0 |          4 |         54 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\appearance-tabs.tsx                           | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\breadcrumbs.tsx                               | TypeScript JSX     |         33 |          0 |          2 |         35 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\delete-user.tsx                               | TypeScript JSX     |         76 |          0 |         14 |         90 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\heading-small.tsx                             | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\heading.tsx                                   | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\icon.tsx                                      | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\input-error.tsx                               | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-footer.tsx                                | TypeScript JSX     |         33 |          0 |          2 |         35 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-main.tsx                                  | TypeScript JSX     |         23 |          0 |          2 |         25 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-user.tsx                                  | TypeScript JSX     |         34 |          0 |          3 |         37 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\text-link.tsx                                 | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\alert.tsx                                  | TypeScript JSX     |         60 |          0 |          7 |         67 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\avatar.tsx                                 | TypeScript JSX     |         46 |          0 |          6 |         52 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\badge.tsx                                  | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\breadcrumb.tsx                             | TypeScript JSX     |         99 |          0 |         11 |        110 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\button.tsx                                 | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\card.tsx                                   | TypeScript JSX     |         60 |          0 |          9 |         69 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\checkbox.tsx                               | TypeScript JSX     |         27 |          0 |          4 |         31 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\collapsible.tsx                            | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\dialog.tsx                                 | TypeScript JSX     |        121 |          0 |         13 |        134 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\dropdown-menu.tsx                          | TypeScript JSX     |        238 |          0 |         18 |        256 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\icon.tsx                                   | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\input.tsx                                  | TypeScript JSX     |         18 |          0 |          4 |         22 |
| c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\label.tsx                                  | TypeScript JSX     |         19 |          0 |          4 |         23 |
