"filename", "language", "TypeScript", "PHP", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "JSON", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\heading.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\icon.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\input-error.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-footer.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-main.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\nav-user.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\text-link.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 11, 110
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 13, 134
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 18, 256
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\icon.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 12, 169
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\placeholder-pattern.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 13, 180
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 13, 138
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 656, 0, 0, 0, 0, 0, 12, 54, 722
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\user-info.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\components\user-menu-content.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-appearance.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 22, 74
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-initials.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-mobile-navigation.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 23
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app-layout.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Jervi\Desktop\payment-with-laravel\resources\js\layouts\app\app-header-layout.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
